PROJECT                       VIEW                                   LOOKUP  ORTHO  DB_LOOKUP_TABLE       
efp_sorghum                   sorghum_vascularization_and_internode  0       —      —                     
efp_sorghum                   sorghum_low_phosphorus                 0       —      —                     
efp_sorghum                   sorghum_atlas_w_BS_cells               0       —      —                     
efp_sorghum                   sorghum_saline_alkali_stress           0       —      —                     
efp_sorghum                   sorghum_flowering_activation           0       —      —                     
efp_sorghum                   sorghum_strigolactone_variation        0       —      —                     
efp_sorghum                   sorghum_sulfur_stress                  0       —      —                     
efp_sorghum                   sorghum_phosphate_stress               0       —      —                     

efp_soybean                   soybean                                1       —      gene_probeset_lookup  
efp_soybean                   soybean_severin                        1       —      gene_probeset_lookup  
efp_soybean                   soybean_senescence                     1       —      gene_probeset_lookup  
efp_soybean                   soybean_embryonic_development          1       —      gene_probeset_lookup  
efp_soybean                   soybean_heart_cotyledon_globular       1       —      gene_probeset_lookup  

efp_strawberry                strawberry                             1       yes    strawberry_lookup     

efp_striga                    striga                                 1       yes    striga_lookup         

efp_tomato                    tomato                                 0       —      454_Illumina_lookup   
efp_tomato                    tomato_renormalized                    0       —      454_Illumina_lookup   
efp_tomato                    tomato_ils                             1       —      454_Illumina_lookup   
efp_tomato                    tomato_ils2                            1       —      454_Illumina_lookup   
efp_tomato                    tomato_s_pennellii                     1       —      454_Illumina_lookup   
efp_tomato                    tomato_meristem                        0       —      454_Illumina_lookup   
efp_tomato                    tomato_seed                            0       —      454_Illumina_lookup   
efp_tomato                    tomato_shade_mutants                   0       —      454_Illumina_lookup   
efp_tomato                    tomato_shade_timecourse                0       —      454_Illumina_lookup   

efp_triphysaria               triphysaria                            1       yes    triphysaria_lookup    

efp_triticale                 triticale                              1       —      triticale_lookup      
efp_triticale                 triticale_mas                          1       —      triticale_lookup      

efp_tung_tree                 tung_tree                              0       —      —                     

efp_wheat                     wheat                                  0       —      —                     
efp_wheat                     wheat_embryogenesis                    0       —      —                     
efp_wheat                     wheat_meiosis                          0       —      —                     
efp_wheat                     wheat_abiotic_stress                   0       —      —                     

efpbarley                     barley_mas                             1       —      at_bar_lookup         
efpbarley                     barley_rma                             1       —      at_bar_lookup         

efpconfig                     (no LOOKUP dict)                       ?       —      at_agi_lookup         

efpmedicago                   medicago_mas                           1       —      at_mtgi_lookup_merged 
efpmedicago                   medicago_rma                           1       —      at_mtgi_lookup_merged 
efpmedicago                   medicago_seed                          1       —      at_mtgi_lookup_merged 

efppop                        poplar                                 1       —      at_pgi_lookup         

efprice                       rice_leaf_gradient                     0       —      at_loc_lookup         
efprice                       rice_maize_comparison                  0       —      at_loc_lookup         
efprice                       rice_mas                               1       —      at_loc_lookup         
efprice                       ricestigma_mas                         1       —      at_loc_lookup         
efprice                       riceanoxia_mas                         1       —      at_loc_lookup         
efprice                       ricestress_mas                         1       —      at_loc_lookup         
efprice                       rice_rma                               1       —      at_loc_lookup         
efprice                       ricestigma_rma                         1       —      at_loc_lookup         
efprice                       riceanoxia_rma                         1       —      at_loc_lookup         
efprice                       ricestress_rma                         1       —      at_loc_lookup         
efprice                       rice_drought_heat_stress               0       —      at_loc_lookup         

efpsoybean                    soybean                                1       —      gene_probeset_lookup  
efpsoybean                    soybean_severin                        1       —      gene_probeset_lookup  
efpsoybean                    soybean_senescence                     1       —      gene_probeset_lookup  
efpsoybean                    soybean_embryonic_development          1       —      gene_probeset_lookup  
efpsoybean                    soybean_heart_cotyledon_globular       1       —      gene_probeset_lookup  
