efp_project,regex
efp_maize,"^([A-Z]{2}[0-9]{6}\.[0-9]{1,2}_FGT?[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6}(_T[0-9]{2})?)$|^(Zm[0-9]+d[0-9]+)$|^(Zm[0-9]{1,10}eb[0-9]{1,10})$|^([A-Z]{2}[0-9]{6}(\.[0-9])?(_(a|s|x|f|i))?_at)$|^(Ctrl_[A-Za-z0-9._-]+_at)$|^(AFFX[-_][\w./-]+at)$|^(Zm[0-9]{6}(_[xsa])?_at)$"
efp_maize_enzyme,"(?i)^[a-z0-9\s\-\(\)]{1,50}$"
efp_maize_lipid_map,"(?i)^[a-z0-9\s:;\/\[\]_\+\-]{1,64}$"
efp_maize_metabolite,"(?i)^[a-z0-9\s,\.\-\(\)_'\+/]{1,80}$"
efp_maize_transcriptomics,"^([A-Z]{2}[0-9]{6}\.[0-9]{1,2}_FGT?[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6}(_T[0-9]{2})?)$|^(Zm[0-9]+d[0-9]+)$|^(Zm[0-9]{1,10}eb[0-9]{1,10})$|^(Zm[0-9]{6}(_[xsa])?_at)$"
efp_mangosteen,"^(DN\d{1,10})$"
efp_marchantia,"^(Mp[A-Za-z]?g[0-9]{1,7}\.[0-9]{1,3})$|^(Mp[A-Za-z]?[0-9]+g[0-9]+\.[0-9]+)$"
efp_medicago,"^(Medtr[0-9]g[0-9]{6}(\.[0-9]+)?)$|^(Medtr[0-9]{4}s[0-9]{4})$|^((Mtr|Msa|Sme)(Affx)?\.[0-9]+\.[0-9]+\.[SA][0-9](_(a|s|x)_at|_at))$|^(RPTR-[A-Za-z]{2,3}-[A-Za-z0-9._-]+(_(a|s|x)_at|_at))$|^(AFFX[-_][\w./-]+at)$|^(Medtr_v1_[0-9]{6})$"
efp_oat,"(^N0\.HOG\d{1,10}$|^\D{1,10}\.*\d{1,10}.{1,10}\d{1,10}$)"
efp_phelipanche,"^(OrAeBC\d+_\d+\.\d+)$|^(OrAeBC\d+_\d+)$|^(At\d[gcm]\d{1,6})$"
efp_physcomitrella,^(Pp)\d+s\d+_\d+V\d\.\d$|^Phypa_\d+$
efp_poplar,^(Potri\.([0-9]{3}G|T)[0-9]{6}(\.[0-9]+)?)$|^(POPTR_[0-9]{4}s[0-9]{5}(\.[1-5])?)$|^(Ptp(Affx)?\.[0-9]+\.[0-9]+\.(A1|A2|S1|S2)_(x_at|s_at|at|a_at))$|^(AFFX[-_][\w./-]+at)$
efp_potato,^(PGSC0003DMG4\d{8})$
efp_rice,"^(LOC_Os[0-9]{2}g[0-9]{5})$|^(Os[0-9]{2}g[0-9]{7})$|^(Chr(Sy|Un)\.fgenesh\.gene\.[0-9]+)$|^((Os|OsAffx)\.[0-9]+\.[0-9]+\.[SA][0-9](_(a|s|x)_at|_at))$|^(RPTR-[A-Za-z]{2,3}-[A-Za-z0-9._-]+(_(a|s|x)_at|_at))$|^(AFFX[-_][\w./-]+at)$"
efp_rice_metabolite,"(?i)^[a-z0-9,\s\.\-]{1,40}$"
efp_rice_transcriptomics,^(LOC_Os[0-9]{2}g[0-9]{5})$|^(Os[0-9]{2}g[0-9]{7})$|^(Chr(Sy|Un)\.fgenesh\.gene\.[0-9]+)$|^((Os|OsAffx)\.[0-9]+\.[0-9]+\.[SA][0-9]_(a_)?(at|x_at|s_at))$
efp_seedcoat,"^(At[12345CM]g[0-9]{5}(\.[0-9]+)?)$|^([0-9]{6}(_[xsfi])?_at)$|^([0-9]{6,9})$|^(\D[0-9]+_[0-9]+)$|^(At[0-9]{8})$|^(Alien[0-9]{1,2})$|^(atc[0-9]{2})$|^(3xSSC)$"
efp_selaginella,^(Smo\d+)$
efp_sorghum,"^(Sobic\.[A-Z]?[0-9]{1,5}G[0-9]{1,10}(\.[0-9]+)?)$|^(Sobic\.K[0-9]{1,10}(\.[0-9]+)?)$|^(SORBI_[0-9]{1,6}G[0-9]{1,10})$|^(ENSRNA[0-9]{1,12})$"
efp_soybean,"^(Glyma[0-9]{1,3}g[0-9]{1,6}(\.[0-9]+)?)$|^(Glyma\.[0-9]{1,3}g[0-9]{1,8}(\.[0-9]+)?)$|^(Glyma[0-9]{4}s[0-9]{2,5}(\.[0-9]+)?)$"
efp_strawberry,"^(FvH4_c?\d{1,3}g\d{1,7})$|^(gene\d{1,10})$"
efp_striga,"^(StHeBC3\_\d+\.\d{1,5})$|^(At\d[gcm]\d{1,6})$"
efp_sugarcane,"^(S[a-zA-Z]{1,4}[A-Za-z0-9._-]{2,40})$"
efp_sunflower,"^(Ha(n)?[A-Za-z0-9._-]{3,40})$|^(Ha412[A-Za-z0-9._-]+)$"
efp_tomato,"^(Solyc[0-9]{2}g[0-9]{6}(\.[0-9]+){0,2})$|^(TU[0-9]{6})$"
efp_tomato_trait,"^[A-Za-z][A-Za-z0-9\s\.,\-\(\)]{1,100}$"
efp_triphysaria,"^(TrVeBC\d+_\d+\.\d{1,5})$|^(At\d[gcm]\d{1,6})$"
efp_triticale,^((Ta|TaAffx)\.[0-9]+\.[0-9]+\.[A-Z][0-9]+(_(a|s|x)_at|_at))$|^(AFFX[-_][\w./-]+at)$
efp_tung_tree,^(Vf\d+G\d+)$
efp_wheat,"^(TraesCS\d\D\d{0,2}[G]\d{0,6}L*C*\.*\d*)$|^(TraesCSU\d+G\d+L*C*\.*\d*)$"
efpconfig,".{0,16}"
mouse_efp,"^(X[MR]_[0-9]{1,9}(\.[0-9]{1,3})?)$|^(N[MR]_[0-9]{1,9}(\.[0-9]{1,3})?)$|^(ENSMUSG[0-9]{1,15})$|^(MGI:[0-9]{1,10})$|^([A-Za-z0-9][A-Za-z0-9._-]{0,39})$"
